update_id,week,date,program,project,milestone,author,role,team,update_text,signal_truth,severity_truth
U0001,1,2026-03-16,Payments Platform,Wallet 2.0,GA launch (Jun 30),R. Datta,Product Manager,Payments,Demo of the top-up endpoint to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0002,1,2026-03-16,Payments Platform,Wallet 2.0,GA launch (Jun 30),A. Okafor,Eng Lead,Payments,We're seeing flaky test failures around the card-vault integration that we can't reproduce locally. Worried it masks a deeper issue before GA launch (Jun 30).,risk,medium
U0006,1,2026-03-16,Customer Experience,Mobile App Revamp,Public release (Jul 7),J. Park,iOS Eng,Mobile,Good week. the new navigation shell is feature-complete and we even cleared some tech debt. Confident on Public release (Jul 7).,on_track,low
U0010,1,2026-03-16,Data & Analytics,Lakehouse Migration,Cutover (Jun 27),K. Sørensen,Analytics Eng,Data Platform,Estimate for the historical backfill was optimistic. Realistically I think we're trending behind on Cutover (Jun 27) — flagging early.,risk,high
U0014,1,2026-03-16,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),D. Costa,Platform Eng Lead,Cloud Infra,Demo of the autoscaling policies to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0016,1,2026-03-16,Infrastructure,API Gateway Rollout,Cutover (Jun 18),D. Costa,Platform Eng Lead,Cloud Infra,"All green on the legacy-route shim. Code review done, automated tests passing at 98% coverage.",on_track,low
U0025,1,2026-03-16,Growth,Marketing Automation,Campaign go-live (Jun 9),V. Ibrahim,Marketing Ops,Growth,"All green on the segmentation engine. Code review done, automated tests passing at 98% coverage.",on_track,low
U0004,1,2026-03-17,Customer Experience,Mobile App Revamp,Public release (Jul 7),S. Halvorsen,Eng Lead,Mobile,Good week. the offline mode is feature-complete and we even cleared some tech debt. Confident on Public release (Jul 7).,on_track,low
U0008,1,2026-03-17,Customer Experience,Loyalty Program,Beta (Jun 20),B. Kim,Backend Eng,Loyalty,"Heads up: the engineer who owns the rewards catalog is out on leave for 1 weeks. Bus-factor risk, no clear backup right now.",risk,high
U0009,1,2026-03-17,Data & Analytics,Lakehouse Migration,Cutover (Jun 27),T. Abara,Data Eng Lead,Data Platform,Cross-team dependency: Cutover (Jun 27) needs the shared design-system components from Platform before we can integrate. Tracking their ETA.,dependency,medium
U0012,1,2026-03-17,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),W. Achebe,QA Lead,Quality,Good week. the blue-green deploy pipeline is feature-complete and we even cleared some tech debt. Confident on Prod migration (Jul 1).,on_track,low
U0017,1,2026-03-17,Infrastructure,API Gateway Rollout,Cutover (Jun 18),N. Yusuf,SRE,Cloud Infra,"Wrapped the canary routing ahead of schedule. QA sign-off received, nothing outstanding.",on_track,low
U0021,1,2026-03-17,Merchant,Payouts Reconciliation,v1 (Jun 16),W. Achebe,QA Lead,Quality,"Sprint goals met — the exceptions queue merged and deployed to staging, no issues. v1 (Jun 16) still on track.",on_track,low
U0024,1,2026-03-17,Growth,Marketing Automation,Campaign go-live (Jun 9),V. Ibrahim,Marketing Ops,Growth,"All green on the A/B testing module. Code review done, automated tests passing at 98% coverage.",on_track,low
U0003,1,2026-03-18,Payments Platform,Settlement Engine,Phase-2 cutover (Jun 12),R. Datta,Product Manager,Payments,Reminder that the ledger reconciliation job can't ship without the merchant-ID mapping service from Merchant — flagging so the dependency is visible at the program level.,dependency,medium
U0007,1,2026-03-18,Customer Experience,Loyalty Program,Beta (Jun 20),H. Vasquez,Eng Lead,Loyalty,"the tier-upgrade logic depends on the merchant-ID mapping service from Merchant, which has now slipped to the following sprint. Coordinating revised timelines.",dependency,medium
U0026,1,2026-03-18,Growth,Marketing Automation,Campaign go-live (Jun 9),V. Ibrahim,Marketing Ops,Growth,Demo of the segmentation engine to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0015,1,2026-03-19,Infrastructure,API Gateway Rollout,Cutover (Jun 18),N. Yusuf,SRE,Cloud Infra,Good week. the auth middleware is feature-complete and we even cleared some tech debt. Confident on Cutover (Jun 18).,on_track,low
U0022,1,2026-03-19,Merchant,Payouts Reconciliation,v1 (Jun 16),G. Oyelaran,Product Manager,Merchant,Demo of the bank-statement importer to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0023,1,2026-03-19,Merchant,Payouts Reconciliation,v1 (Jun 16),F. Andersen,Fullstack Eng,Merchant,Estimate for the bank-statement importer was optimistic. Realistically I think we're trending behind on v1 (Jun 16) — flagging early.,risk,high
U0005,1,2026-03-20,Customer Experience,Mobile App Revamp,Public release (Jul 7),J. Park,iOS Eng,Mobile,Critical blocker on the push-notification service — a data-migration step is corrupting records and we've had to halt the rollout entirely.,blocker,critical
